,Latitude,Longitude,Altitude,DateTime,N_res,E_res,C_res,TotalPoints,Minimum_Distance,Average_Distance,Kp
0,53.994583,14.780733,0.099,2014-10-04 05:29:00,0.0,0.0,0.0,0,,,
1,53.994617,14.7809,0.098,2014-10-04 05:45:00,-5.730809667642857,-1.6585644316033856,-10.140984562785313,9,808.5930717776866,966.3406628709519,1.0
2,53.994533,14.780883,0.099,2014-10-04 06:01:00,-3.956540989886718,-5.513127673874079,-7.854155195033456,32,144.83871850929475,745.8238086061588,1.0
3,53.9943,14.78095,0.098,2014-10-04 06:33:00,-3.980742916341913,-5.519672873421439,-7.838821586815339,32,144.84553858031362,745.8265322331656,1.0
4,53.994033,14.780833,0.103,2014-10-04 06:49:00,-3.9963958710550647,-5.52651601909754,-7.828716638529089,32,144.84074609036583,745.8290807877543,1.0
5,53.993117,14.7788,0.103,2014-10-04 07:38:00,-2.9718163135246454,-6.310516590257432,-8.211787457844919,42,144.71815271721866,792.9565316765047,1.0
6,53.959217,14.718333,0.103,2014-10-04 07:53:00,-3.0033305408658713,-6.175194772754917,-8.192020189365584,41,141.20122141406404,781.0557358307098,1.0
7,71.4541,75.3123,0.101,2014-08-30 12:39:00,-121.00185402744441,119.98387181332279,-11.504550685403752,47,89.56138465388959,705.2133181887127,3.3000000000000016
8,71.46345,75.34705,0.102,2014-08-30 14:42:00,-181.03878297011013,203.4586365468662,-33.364984164804646,17,754.509062454207,944.326323743699,3.3000000000000003
9,71.457583,75.3796,0.103,2014-08-30 18:49:00,74.23431977949593,-64.3708113255445,27.986712331592823,62,44.02190274089104,709.8693096779526,2.603225806451612
10,67.734967,49.5041,0.1,2014-09-27 10:54:00,-30.26509931383637,17.677230604472705,3.618587694240371,58,314.4507487331152,745.6342644648512,3.162068965517242
11,67.7351,49.5038,0.098,2014-09-27 11:09:00,-30.50517054783525,17.921903160707743,3.5617570600432646,58,314.4625461303221,745.6324681762134,3.162068965517242
12,67.7351,49.503767,0.099,2014-09-27 11:25:00,-27.636879883311718,16.899224581552865,2.825028500644524,39,314.46393470738195,735.3530606711157,3.0948717948717945
13,67.7351,49.503667,0.1,2014-09-27 11:40:00,-27.77562048723792,17.05998229766028,2.770291997448544,39,314.46814251651864,735.3516338206928,3.0948717948717945
14,67.7351,49.50365,0.1,2014-09-27 11:56:00,-27.89410083083976,17.20202400555382,2.706994378186926,39,314.4688578440518,735.3513912571896,3.0948717948717945
15,67.735,49.503617,0.092,2014-09-27 12:11:00,-27.981850526372593,17.311186685596294,2.644838500349958,39,314.4708674792943,735.3526985286602,3.0948717948717945
16,67.734683,49.503183,0.098,2014-09-27 12:27:00,-29.466356807996416,17.895685281480752,2.6914648317288252,36,314.4911008872047,721.5922944801554,3.0777777777777775
17,66.591267,46.53095,0.101,2014-09-29 22:56:00,57.50825661333615,-10.988147109484869,3.542215235528214,54,185.6857878354217,745.7605399319444,3.699999999999999
18,66.59125,46.530883,0.109,2014-09-30 00:59:00,0.0,0.0,0.0,0,,,
19,60.861467,35.70905,0.109,2014-09-30 10:44:00,11.388182709080507,-1.563982860156041,0.7768315668952966,46,109.63483224845021,764.6822207953962,2.6695652173913045
20,60.681833,35.565167,0.107,2014-09-30 11:00:00,10.944811577292183,-1.4421330048813086,0.6135460886741898,44,93.57922122492452,746.5076513202628,2.6863636363636365
21,60.470817,35.459617,0.104,2014-09-30 11:15:00,10.927803410911872,-1.2162000527043775,0.33037768906957315,42,81.42849969634979,726.540161974924,2.704761904761905
22,59.9906,35.027167,0.106,2014-09-30 11:56:00,10.48349635115583,-0.8171951465868496,-0.3456283258102074,39,69.15582518273851,695.0409030506257,2.7358974358974355
23,59.895433,35.004917,0.105,2014-09-30 12:11:00,10.129635654450725,-0.6723992699649526,-0.3351136523506393,39,74.82045390494196,695.643315843036,2.7358974358974355
24,54.895767,26.147583,0.112,2014-10-01 08:10:00,9.681498472594143,-1.2538686678605344,-4.503472607615868,55,470.2871217699549,923.3235404961258,2.474545454545455
25,54.841667,25.802867,0.114,2014-10-01 08:25:00,8.748713564350616,-1.1570771533795345,-4.717748427429235,56,451.35282892439835,929.5835734585354,2.4642857142857144
26,54.795083,25.44265,0.111,2014-10-01 08:41:00,7.853112416982398,-1.3234538392830526,-4.907246205758431,54,431.47655795512713,916.7111362082951,2.455555555555556
27,54.744067,25.12025,0.158,2014-10-01 08:56:00,7.082272382842732,-1.3063569702358404,-5.074987898740676,54,411.5614489921554,916.1068530218624,2.455555555555556
28,54.6547,24.8081,0.158,2014-10-01 09:12:00,6.186101154734235,-1.3157240458123558,-5.33925307080512,53,390.45666119848937,909.8975249037385,2.4509433962264153
29,54.568733,24.517683,0.164,2014-10-01 09:27:00,5.399465662881695,-1.242460839895366,-5.5153540193605375,53,370.85463450489715,909.9819865438452,2.4509433962264153
30,54.485233,24.240317,0.162,2014-10-01 09:43:00,4.520940518380506,-1.1579716825348363,-5.789338268447806,53,352.20440867307497,909.9079470992274,2.443396226415094
31,54.140583,18.747383,0.144,2014-10-01 15:06:00,0.0,0.0,0.0,0,,,
32,54.176017,17.95875,0.129,2014-10-01 15:52:00,0.0,0.0,0.0,0,,,
33,54.1947,17.696083,0.129,2014-10-01 16:07:00,0.0,0.0,0.0,0,,,
34,54.218167,17.424767,0.123,2014-10-01 16:22:00,0.0,0.0,0.0,0,,,
35,54.288733,17.176467,0.121,2014-10-01 16:39:00,0.0,0.0,0.0,0,,,
36,54.361967,16.9478,0.12,2014-10-01 16:53:00,0.0,0.0,0.0,0,,,
37,54.4751,16.7276,0.117,2014-10-01 17:09:00,1.5903830138055208,6.249574246398982,-0.7615590671308489,16,105.75419684661571,532.7109271562666,2.0
38,54.55855,16.5494,0.128,2014-10-01 17:24:00,0.6552448403775559,5.14257867182167,-0.09039400916745999,23,109.57539198919922,641.2947740625863,2.0
39,54.460017,16.158383,0.128,2014-10-01 22:02:00,4.871081570407053,-2.370559872494014,-1.5332500667360536,38,136.8232387306686,722.1455906754622,2.0
40,54.4503,16.13915,0.123,2014-10-02 01:26:00,13.582426833584407,-13.271669642502614,-5.8943283417857595,15,337.211675934308,833.1994293872561,2.0
41,54.44135,16.131,0.132,2014-10-02 03:29:00,0.0,0.0,0.0,0,,,
42,54.242917,13.124433,0.129,2014-10-02 09:42:00,3.4942251228661063,-4.573108909160835,-7.889338574228784,56,550.9488426510416,937.8167485026723,1.3
43,54.242517,13.125883,0.128,2014-10-02 11:45:00,2.7170534591313436,-5.686029110521108,-8.523530258463566,56,550.8595693552336,937.8190265257174,1.3
44,54.242633,13.126183,0.12,2014-10-02 13:49:00,0.9416703250731575,-7.756701878812238,-9.784671659438088,35,550.8388668262265,987.785096745414,1.2999999999999998
45,54.2396,13.12735,0.124,2014-10-02 15:55:00,0.0,0.0,0.0,0,,,
46,53.81685,12.630417,0.125,2014-10-02 17:58:00,1.1514060016601526,-0.31910234526441744,0.9999578299002136,28,742.4236454434077,968.2605292366286,1.6571428571428568
47,68.8963,49.586017,0.124,2014-08-19 02:41:00,4.8041231027347315,-63.15536922208922,1.2902130255318445,29,289.42857748189374,713.4001415241253,0.906896551724138
48,68.897133,49.586017,0.124,2014-08-19 03:06:00,5.264635278196592,-62.55632909275225,1.6104376312256368,29,289.44631610225207,713.3954252182209,0.906896551724138
49,58.5919,31.435717,0.123,2014-09-30 14:38:00,-16.574053876257434,3.3022991334013945,3.4364394327108556,8,861.3578868832072,981.5874299055741,3.3000000000000003
50,58.4752,31.229367,0.124,2014-09-30 14:54:00,0.0,0.0,0.0,0,,,
51,53.174667,11.143583,0.125,2014-10-02 10:16:00,2.9817724573510396,-5.112107810142428,-9.313889570790511,55,691.2650179491153,952.2194050250108,1.2999999999999998
52,53.174917,11.140233,0.127,2014-10-02 10:32:00,2.8649161240090484,-5.255483126482379,-9.41008388731159,55,691.4871463902714,952.2208696096587,1.2999999999999998
53,53.16345,11.102133,0.126,2014-10-02 19:21:00,1.186868907415666,0.9063175791476847,1.690555277801863,54,578.5003645340082,944.7981788683238,2.022222222222222
54,53.164067,11.10005,0.131,2014-10-02 19:38:00,1.1874090128105415,0.9486610439537322,1.7050733121452732,54,578.3483682734247,944.783871276373,2.022222222222222
55,53.21035,10.9836,0.13,2014-10-03 10:10:00,2.1802218450671456,-0.047671802447829086,-5.874097941693817,49,338.5767710076933,897.1069149985407,0.42857142857142855
56,53.210333,10.983467,0.129,2014-10-03 10:26:00,2.326923114020708,-0.11170336680728292,-5.955728726438037,49,338.5686519026114,897.1062424490714,0.42857142857142855
57,53.32745,10.723367,0.13,2014-10-03 19:17:00,2.7962152090968027,-1.780229384179297,0.3900211806701295,41,131.46503723502428,774.0513815405245,0.30000000000000004
58,53.327783,10.72325,0.0,2014-10-03 19:32:00,2.7419793541906863,-1.807053019426382,0.42894491877561786,41,131.43725871313447,774.0478406910462,0.30000000000000004
59,53.32635,10.7225,0.14,2014-10-04 04:21:00,0.0,0.0,0.0,0,,,
60,53.326817,10.723333,0.122,2014-10-04 04:37:00,0.0,0.0,0.0,0,,,
