Latitude,Longitude,DateTime,Fgps,N,E,C,H,D,I,TotalPoints,MinDist,AvDist
68.00851290000001,57.8079586,2014-09-23 09:30:00,56405.81704761772,8974.28122283414,3698.2120858759217,55564.39238136857,9706.415203288605,22.396072180444776,80.09111788548726,30,60.81884034003172,759.6387298775743
67.79852290000001,57.13733320000001,2014-09-23 10:00:00,56098.20339224187,9275.172843236747,3653.541802565787,55205.35503791571,9968.811312037766,21.499754313402306,79.76401347114181,31,70.79312714260256,774.8960024740026
67.569443,56.448078,2014-09-23 10:30:00,55846.584872351916,9467.91790226456,3651.238267662075,54916.91935654753,10147.561790462854,21.08879456612297,79.53095672369784,28,96.15861219939399,742.2476486248981
67.35836280000001,55.710179000000004,2014-09-23 11:00:00,55747.91028861696,9554.751639349644,3624.998016548848,54803.244539334046,10219.290068768858,20.776353428703867,79.4372353295711,28,130.4171888948469,743.581139987119
67.1668102,54.9263634,2014-09-23 11:30:00,55680.39300329893,9615.332484434326,3604.1784524625987,54725.32726168393,10268.628004919337,20.54783644535383,79.37262870707363,28,168.51537935865645,745.636600379661
67.093627,54.0228171,2014-09-23 12:00:00,54653.06794072079,10025.901270388085,3374.798262356303,53619.49156545472,10578.655850115012,18.60364312555315,78.83937636317064,13,353.06644566449035,806.2576316766061
67.0818804,53.0505317,2014-09-23 12:30:00,54540.44095212624,10217.457065443605,3345.464172341093,53470.28277314201,10751.211997379705,18.12980773823578,78.6311906188844,14,311.1104951172669,802.8971089927563
67.09780429999999,52.9419324,2014-09-23 13:00:00,54523.50408869918,10219.0843174686,3333.5357977221047,53453.440982860666,10749.053223527522,18.066683367349775,78.62992592652911,14,306.3209173352842,799.2652597760334
67.1003412,52.9422025,2014-09-23 13:30:00,54958.523546963996,10311.006686595758,3674.419755271845,53857.41444808915,10946.150895586743,19.613981612818375,78.51150719957761,5,306.3187236329685,626.4542110676945
67.0986342,52.9405284,2014-09-23 14:00:00,0.0,0.0,0.0,0.0,0.0,,,0,,
67.0984821,52.94256479999999,2014-09-23 14:30:00,0.0,0.0,0.0,0.0,0.0,,,0,,
67.10013889999999,52.94858979999999,2014-09-23 15:00:00,56540.95864198971,6893.000266913881,3803.046366179303,55990.20798150518,7872.522743249741,28.886656554465613,81.99637522187692,4,471.2136823099323,666.4053236684844
67.1002403,52.948307400000004,2014-09-23 15:30:00,56895.503159078806,9164.43497975319,3986.10767908801,56010.91283667263,9993.79422078563,23.506824090161874,79.88341233523401,14,222.11103779678635,669.5903354325712
67.09950699999999,52.9468031,2014-09-23 16:00:00,56889.02300956958,9158.391227403486,3993.5371770806623,56004.78970520674,9991.219598172514,23.559717553566536,79.88488182209748,14,222.1870005810581,669.6376374859911
67.0997035,52.94863050000001,2014-09-23 16:30:00,56880.927026518395,9152.532271212393,4003.6047886014103,55996.804918827416,9989.87979301535,23.626077476134164,79.8847978544934,14,222.105611982814,669.5880724590885
67.0997938,52.9483919,2014-09-23 17:00:00,56137.95857693028,9516.574586049299,3806.619325771192,55194.337124762766,10249.660606243218,21.801354944356756,79.47993445754882,28,222.11441854790476,750.0432119834193
67.0998261,52.9487034,2014-09-23 17:30:00,56186.85690811602,9490.160399253178,3839.8201964873588,55246.31685160739,10237.546754223175,22.028781421623666,79.5017575109361,28,222.10056402343062,750.0433583603673
67.1001375,52.9482957,2014-09-23 18:00:00,56242.74523893163,9464.036714897198,3882.1968393717025,55304.673842007396,10229.342268227698,22.303692365093617,79.52080773747572,28,222.11315017959646,750.0376542712909
67.10005459999999,52.9485491,2014-09-23 18:30:00,56297.502006939125,9445.32758649589,3929.6956116960523,55360.202414771855,10230.186743984857,22.5895823633373,79.53024115708351,28,222.10359159910692,750.03947489113
67.099684,52.9486421,2014-09-23 19:00:00,56296.74050990824,9457.663324521642,3948.71734418213,55355.96831251078,10248.890877760701,22.661273537315093,79.51073897227768,28,222.1054210596142,750.0454456109775
67.0992382,52.94808979999999,2014-09-23 19:30:00,56154.2149743422,9541.18751555034,3895.516909155325,55200.4216305295,10305.790178167259,22.20942192162762,79.42475996608957,28,222.13609079033313,750.0512443861588
67.0982691,52.9426483,2014-09-23 20:00:00,55921.37882740653,9681.187997657973,3812.8709290786032,54944.85621230164,10404.96928240586,21.49666752650403,79.27681332285944,28,222.38451054497338,750.0550312174042
67.098259,52.9425799,2014-09-23 20:30:00,55704.19690115415,9820.298838414426,3748.0079323567156,54703.48909956091,10511.224131221472,20.88981780072668,79.12323789888423,28,222.38760062435009,750.0550466300359
67.0982802,52.9425236,2014-09-23 21:00:00,55555.86811067448,9914.654564638344,3703.8434765304364,54538.386938888434,10583.894917975187,20.484311533242735,79.0175075172676,28,222.38967866943653,750.0545987449829
67.0982619,52.9425306,2014-09-23 21:30:00,55472.730619474874,9958.396245733607,3669.150276838883,54448.06261787243,10612.83748773475,20.226214291482165,78.97038815995086,28,222.38966730321144,750.0548988809398
67.0982561,52.9425684,2014-09-23 22:00:00,55426.96474748782,9973.319296833472,3639.6417209329584,54400.68318933055,10616.689203953685,20.048939881659717,78.95711004195473,28,222.38813910927098,750.0550679786458
67.09828420000001,52.942461800000004,2014-09-23 22:30:00,55401.1053012528,9975.918335729559,3616.1094679423395,54375.42895716055,10611.088272429339,19.924763723975797,78.95779254571633,28,222.39226360990182,750.0544078480222
67.0982613,52.942528599999996,2014-09-23 23:00:00,55344.333531010176,10157.391520877256,3596.501587419406,54285.24502859868,10775.315595225018,19.497897838149818,78.77303971990797,26,222.38976246101672,741.5117568138878
67.0982667,52.9425371,2014-09-23 23:30:00,54427.81441226135,10455.232024739878,3345.456693169942,53309.314613100614,10977.429443044573,17.743590138963395,78.36432209845839,14,377.625413548927,830.3474003026579
67.0982719,52.942540799999996,2014-09-24 00:00:00,54407.91617482402,10449.48178453387,3328.6686339508997,53291.177863195364,10966.845692356288,17.669209467393596,78.37138645185603,14,377.62583477086304,830.3474085270035
67.0983048,52.9425537,2014-09-24 00:30:00,54393.27871281068,10443.370119024215,3315.608532342023,53278.24630885326,10957.063447049446,17.61383849075808,78.37873352748142,14,377.6281023266472,830.3471445797866
67.1002412,52.943034700000005,2014-09-24 01:00:00,0.0,0.0,0.0,0.0,0.0,,,0,,
67.12990649999999,52.7834667,2014-09-24 01:30:00,0.0,0.0,0.0,0.0,0.0,,,0,,
67.2672297,51.8560042,2014-09-24 02:00:00,0.0,0.0,0.0,0.0,0.0,,,0,,
67.3396305,50.6782705,2014-09-24 02:30:00,0.0,0.0,0.0,0.0,0.0,,,0,,
67.2828778,49.5427874,2014-09-24 03:00:00,0.0,0.0,0.0,0.0,0.0,,,0,,
67.3047788,48.283387100000006,2014-09-24 03:30:00,57591.902643270805,8778.346869073328,3934.580267582232,56782.80509481867,9619.786673092964,24.14260305803814,80.38460526832336,8,745.5820247481536,886.2323142882753
67.1567729,47.4447777,2014-09-24 04:00:00,57731.75069754988,8574.354497874932,3880.956999578776,56959.40358111419,9411.768286980274,24.35263972644996,80.61742820193541,10,785.2583616115894,952.8045283487706
66.9984061,46.58231729999999,2014-09-24 04:30:00,57671.440132577045,8761.584002082182,3915.5235548310166,56867.37490012564,9596.701461126053,24.079713267739606,80.4212518936475,9,826.5652329596705,972.5200714107754
66.652085,45.628699600000004,2014-09-30 06:30:00,55473.36315756405,10289.908861670336,3663.135700774102,54387.43634762735,10922.48998826584,19.595374406108206,78.64448900128582,29,283.67869156959995,769.5927385082083
66.4358523,44.7792094,2014-09-30 07:00:00,55236.16783418071,10480.872526186544,3600.8600332597252,54113.02389551411,11082.187594933554,18.960923117600334,78.42603349962575,30,245.49395575212887,786.1678708058387
66.1141362,44.0493499,2014-09-30 07:30:00,54953.64017761424,10635.237813103975,3526.6263934606764,53799.2304007257,11204.703345485326,18.34543135247734,78.23525256127779,29,197.3205206887247,778.8794316483466
65.7801577,43.3422891,2014-09-30 08:00:00,54606.66492765178,10981.982481837053,3436.2033481062545,53380.48727615665,11507.01667161878,17.374621345842105,77.83512832938628,28,148.8534342389028,771.1896253111717
65.38443769999999,42.711221,2014-09-30 08:30:00,54360.871092474845,11236.18328883428,3403.0096247656274,53077.98052418857,11740.199717488891,16.84955082424095,77.52768567311988,28,99.68185120620525,776.5512147930702
65.0728687,42.156356,2014-09-30 09:00:00,54225.392799586305,11525.121048099007,3480.615890776851,52872.01643702426,12039.231792455159,16.804449791955527,77.17217563598697,27,61.83849661972118,768.0590665659593
64.6939728,41.580668100000004,2014-09-30 09:30:00,54182.70443341129,11608.09397080434,3476.5164443974504,52810.33466562409,12117.508498993922,16.672470318121906,77.07698584761344,27,40.62819011426048,775.129828458625
64.3269615,40.9090051,2014-09-30 10:00:00,54032.53343411787,11735.038059959868,3328.679577474912,52637.66183362308,12198.000901713578,15.836150743830995,76.95284490415312,26,65.30814118470632,768.7129223141065
63.919167599999994,40.432761600000006,2014-09-30 10:30:00,53851.53732328352,12019.987298239399,3246.4702236481426,52392.446101686524,12450.68928063304,15.114345069929648,76.63203508190274,27,112.87730291182895,790.5309708721238
63.594159600000005,39.919587400000005,2014-09-30 11:00:00,53753.71121607643,12196.234718489555,3194.8616179783717,52254.24564028094,12607.746906823653,14.679073367619306,76.43510570292959,28,154.20263356667118,807.5137080556705
