timestamp,location-long,location-lat,height,individual_id,Altitude,TotalPoints,Minimum_Distance,Average_Distance,Kp,N,E,C,N_Obs,E_Obs,C_Obs,H,D,I,F
08/09/2014 07:14,67.548317,70.68545,0.337,1,0.337,55,355.98043242879993,680.0628023001481,1.1909090909090914,7086.0534550574,3888.4341620762507,57584.74891857506,7102.154615814934,3880.20386258175,57571.538841251175,8082.825854905731,28.755544263048087,82.00993572432647,58149.25091362798
08/09/2014 07:30,67.549433,70.68575,0.026,1,0.026,55,355.93792675827075,680.057576622636,1.1909090909090914,7086.901091618194,3889.365111947575,57593.032344092564,7102.257268613984,3881.5641119866914,57579.86852810593,8084.016826826508,28.75843859934131,82.00990813664939,58157.61947194973
08/09/2014 07:46,67.530983,70.690333,0.026,1,0.026,55,356.59353181200083,679.9910364682842,1.1909090909090914,7087.19179598889,3889.784895566749,57590.16490299124,7101.674141617907,3882.2213319737284,57577.12061061006,8084.473643157695,28.760055478226484,82.00906974581851,58154.84337216149
08/09/2014 08:03,67.506233,70.692683,0.023,1,0.023,55,357.4916718711062,679.9631668807822,1.1909090909090914,7089.11293742929,3890.7690229551586,57586.38967989827,7102.543736138287,3883.24576819814,57573.54876684367,8086.631302935405,28.75961891849384,82.00644738006403,58151.40481703523
08/09/2014 08:34,67.506167,70.692533,0.022,1,0.022,55,357.4948138313347,679.9655899293357,1.1909090909090914,7091.1642084290115,3891.28473915665,57585.900341620225,7102.614569860319,3883.2587680134134,57573.56674675454,8088.677688726266,28.755830406037013,82.0043836409281,58151.20484484491
08/09/2014 08:50,67.506383,70.692583,0.023,1,0.023,55,357.4866383441066,679.9647041872452,1.1909090909090914,7092.022095953987,3891.88468009595,57585.60299752559,7102.5755089436825,3883.2428180488187,57573.571710290475,8089.7183988483275,28.756632462310055,82.00332745417231,58151.05516120316
08/09/2014 09:37,67.501633,70.695017,0.026,1,0.026,55,357.6496173538687,679.9277687033648,1.1909090909090914,7092.924079670027,3894.463841241224,57583.978109018506,7101.883147208376,3883.3489998902687,57572.77367212085,8091.750157456559,28.769570013734814,82.0011222712997,58149.728765236905
08/09/2014 09:54,67.498917,70.69385,0.026,1,0.026,55,357.7549170179811,679.9474953695632,1.1909090909090914,7093.845987373255,3895.361205582278,57583.36446381101,7102.593767818613,3883.5116657995445,57572.38601369599,8092.990165231085,28.771997583289295,81.9998282139085,58149.293656815986
08/09/2014 13:53,67.5058,70.692667,0.0,1,0.0,10,514.4009983078555,759.9462308079402,0.7000000000000001,7102.817736412685,3893.464769001841,57581.9388369624,7102.607209360802,3883.370807302034,57574.088972987396,8099.9436852460385,28.72969293608202,81.99284788417918,58148.8500997899
08/09/2014 14:09,67.505883,70.692667,0.034,1,0.034,10,514.4040202984668,759.9482631340248,0.7000000000000001,7102.86791062859,3893.340589320613,57581.05291708229,7102.565994541615,3883.211427507478,57573.208929030865,8099.927993524925,28.728752071220903,81.99274159804074,58147.9706313137
08/09/2014 14:25,67.506,70.692617,0.034,1,0.034,2,897.3213266769299,987.144175123261,0.7000000000000001,7122.506577780435,3900.939669285149,57578.64986603709,7102.578684357019,3883.2080995038104,57573.22655952879,8120.8023159000795,28.709166746540454,81.97204408678672,58148.50256584104
08/09/2014 14:41,67.505883,70.69275,0.033,1,0.033,2,1074.041816413352,1074.681657052336,1.7000000000000002,7159.2982536816435,3787.787527068795,57597.50663321876,7102.531173939852,3883.2129591592225,57573.234387962555,8099.560842131317,27.882084041644116,81.9953574993949,58164.21284775602
08/09/2014 15:13,67.511617,70.69435,0.036,1,0.036,21,349.41025746536997,693.2519191218794,1.7000000000000004,7094.284157002277,3867.3129337720197,57590.45977408139,7101.40059629152,3882.8871870592975,57573.98160832696,8079.911944323023,28.59616264872455,82.01356083258699,58154.501408043216
08/09/2014 15:29,67.50905,70.69365,0.034,1,0.034,21,349.5294561644008,693.3268363311496,1.7000000000000004,7094.452742120834,3867.5433954647333,57590.14611097928,7101.900382079818,3883.0354893309254,57573.66415681796,8080.170272091344,28.597025317927038,82.01326585003874,58154.226679665604
08/09/2014 15:45,67.51125,70.693467,0.032,1,0.032,21,349.46609434181585,693.2808516345176,1.7000000000000004,7093.994062614653,3867.545424154889,57590.52812440074,7101.8140252251105,3882.9541703955024,57574.04094437536,8079.768521951193,28.598594802376706,82.01371012279323,58154.549168708254
08/09/2014 16:01,67.51,70.69345,0.033,1,0.033,23,349.508090108194,703.9796040666223,1.7000000000000006,7093.2187122572905,3856.1885925505435,57591.56963881572,7101.915479638476,3883.005451614916,57573.831568125286,8073.657297732789,28.530466397229553,82.01981525497376,58154.73184207623
08/09/2014 16:33,67.510767,70.693633,0.034,1,0.034,35,278.57652659410843,703.7981879237021,1.7000000000000004,7099.516369206202,3857.929615318089,57589.57829972295,7101.777031478152,3882.9602602895093,57573.91608951291,8080.021880748541,28.51998352440065,82.01333290418918,58153.64375800794
08/09/2014 16:49,67.5095,70.693583,0.033,1,0.033,49,278.62235244557263,687.667994647382,1.7,7100.21815677545,3852.5885053007833,57587.806035423884,7101.896093219896,3883.0226541291686,57573.75701059431,8078.08987725313,28.484320885889183,82.0149753907495,58151.62027010583
08/09/2014 17:05,67.50975,70.6936,0.033,1,0.033,49,278.613048889559,687.6666613498751,1.7,7099.800675547713,3852.9597362321056,57587.783550808155,7101.86972158658,3883.0109857452994,57573.793511980584,8077.899997000058,28.488047476861812,82.01515758523963,58151.571626708974
