timestamp,location-long,location-lat,height,individual_id,Altitude,TotalPoints,Minimum_Distance,Average_Distance,Kp,N,E,C,N_Obs,E_Obs,C_Obs,H,D,I,F
28/08/2014 20:30,46.3146,68.164267,0.125,4,0.125,49,39.000541851394765,701.933809794607,2.3000000000000003,10128.589601525051,3698.7092628437945,54483.574524371565,10031.705825364974,3838.796864491982,54464.89532321168,10782.800078234219,20.060937397434746,78.80530083259615,55540.33372676039
28/08/2014 21:36,46.3146,68.1643,0.119,4,0.119,53,38.99732318130745,725.6544327058967,2.375471698113208,10125.625704434757,3690.1752833943424,54481.659720998265,10031.715305597672,3838.819238524711,54465.04518812193,10777.090958532566,20.02372477493291,78.81069513215604,55537.347213232366
30/09/2014 10:03,33.854983,61.430817,0.119,4,0.119,42,81.4857188303435,716.0469432442864,2.7285714285714286,13877.087123066527,3034.716094288181,51257.334945975745,13873.607001369212,3035.427408116118,51244.75773188742,14205.036036353817,12.335553947489915,74.51025676528108,53189.26051900005
30/09/2014 11:09,32.898767,60.844483,0.102,4,0.102,44,81.89557370782302,740.875540970226,2.7772727272727273,14207.438274941193,2919.2679206889366,50854.24979338676,14207.928907119593,2918.393470942462,50842.18164434426,14504.255497233475,11.611220550837109,74.08120073194705,52882.21014270494
30/09/2014 12:17,32.232017,60.107867,0.104,4,0.104,44,18.431797081122554,746.8726974792538,2.8000000000000003,14515.869069601702,2862.1433935955747,50471.53295567821,14519.219768624624,2861.053937054235,50459.85600360769,14795.34790572098,11.154125360408623,73.6619002484194,52595.4176573153
30/09/2014 21:41,25.537683,55.444667,0.106,4,0.106,47,451.2547072191595,876.8948677631444,2.3,16871.33075246315,2210.20556099033,48252.26418400414,16862.94009919442,2190.6257431246636,48255.54403629718,17015.4873565479,7.463452920946865,70.57551311703374,51164.51708815173
30/09/2014 22:47,24.5155,55.021733,0.108,4,0.108,49,395.8686163667798,889.2651366082179,2.3000000000000003,17115.773651769654,2124.9409219556096,47923.82566236166,17106.258538254013,2104.1428853094217,47927.902846012665,17247.17604770166,7.077117281501854,70.20684042682635,50932.87884791952
30/09/2014 23:54,23.424117,54.623867,0.129,4,0.129,48,333.85078474722366,876.7729705063883,2.3000000000000003,17340.145924014825,1921.4926349242623,47695.03078687219,17330.503165638926,1900.7217602677542,47698.8908284703,17446.283117391973,6.323250583400298,69.90807276144682,50785.71409730183
01/10/2014 01:01,22.391917,54.408267,0.12,4,0.12,32,263.52256976714096,817.5690175559687,2.3000000000000003,17527.229417199007,1856.5551521803843,47628.036623917,17514.59440968747,1832.6146332611368,47634.21070171847,17625.282070826946,6.046454817759216,69.69244876846192,50784.64768732174
01/10/2014 09:51,14.2275,54.23675,0.122,4,0.122,38,78.27874431968863,707.9622453852271,2.2526315789473683,17839.28721610872,1245.0545817798234,46654.778889936075,17843.48077162288,1244.8627747160308,46651.44487765241,17882.682385213662,3.992361455792456,69.02827280972991,49964.57467605679
