Latitude,Longitude,Altitude,DateTime,TotalPoints,Minimum_Distance,Average_Distance,Kp,N,E,C,H,D,I,F,geometry
54.03308979999999,20.759495899999997,0.011000000000000001,2014-10-01 02:30:00,0,,,,17740.214167281494,1807.8039894666151,47220.81750295287,17832.087762383475,5.81860034318886,69.31186315568456,50475.62738205962,POINT (20.7594959 54.03308979999999)
53.9790904,20.2258079,0.11599999999999999,2014-10-01 03:00:00,0,,,,17734.93656757277,1730.7200244407263,47112.406768913184,17819.185359012066,5.573741296264026,69.28202745735747,50369.6559291243,POINT (20.2258079 53.9790904)
54.0093586,19.620787300000003,0.006999999999999999,2014-10-01 03:30:00,0,,,,17701.6769391754,1633.4454560555373,47075.52884898765,17776.8813495743,5.27211315747803,69.31222615538556,50320.20396350467,POINT (19.6207873 54.0093586)
54.11916070000001,18.9780539,0.02,2014-10-01 04:00:00,0,,,,17669.0506012113,1532.6300972675147,47105.33124265534,17735.396927140246,4.957481399975856,69.3683887165506,50333.45344443889,POINT (18.9780539 54.11916070000001)
54.208834700000004,18.437065399999998,0.018000000000000002,2014-10-01 04:30:00,0,,,,17673.629054005112,1469.3790675441512,47165.730216427146,17734.60568444392,4.7526199521405745,69.39342954217868,50389.70475832836,POINT (18.4370654 54.2088347)
54.19944640000001,17.8485992,0.017,2014-10-01 05:00:00,0,,,,17757.341089223457,1458.9660380766857,47191.220760774704,17817.175546625927,4.69694519921462,69.3158326014971,50442.6710370442,POINT (17.8485992 54.19944640000001)
54.235327600000005,17.226846899999998,0.0,2014-10-01 05:30:00,0,,,,17813.069921812756,1468.2101401864497,47198.614785863996,17873.474789618736,4.711850367900462,69.25900329108751,50469.499093606195,POINT (17.2268469 54.23532760000001)
54.316291099999994,16.6419292,0.0,2014-10-01 06:00:00,12,131.89276294368213,645.9304201219624,2.3000000000000003,17811.659705759677,1472.2855147767257,47187.270306632025,17872.40459789349,4.725242514794802,69.25557776677749,50458.51092830585,POINT (16.6419292 54.31629109999999)
54.2951856,16.1662801,0.139,2014-10-01 06:30:00,15,128.7540842624958,616.4750217944364,2.3,17843.22549344703,1472.7537794279865,47087.121952155445,17903.901801138694,4.718414473538992,69.18173139758984,50376.05337302612,POINT (16.1662801 54.2951856)
54.24818689999999,15.7307093,0.138,2014-10-01 07:00:00,17,129.58655352791968,622.7925107415883,2.3000000000000003,17875.39468925632,1451.0664608150742,46963.857494755626,17934.19441096799,4.640909057577153,69.09953032107157,50271.65443824292,POINT (15.7307093 54.24818689999999)
54.272347100000005,15.2408425,0.147,2014-10-01 07:30:00,17,145.4002260952727,628.3848401546857,2.3000000000000003,17848.05293774044,1408.4764774261464,46871.88298840683,17903.541539478938,4.512137007626322,69.09476216732045,50174.79660680998,POINT (15.2408425 54.2723471)
