timestamp,location-long,location-lat,height,individual_id
02/10/2014 13:20,15.23675,54.089433,0.337,1
02/10/2014 13:36,15.236067,54.090017,0.267,1
02/10/2014 13:52,15.236983,54.0893,0.357,1
02/10/2014 14:24,15.237417,54.08935,0.14,1
02/10/2014 14:41,15.2369,54.0892,0.315,1
02/10/2014 14:57,15.237067,54.08925,0.132,1
02/10/2014 15:29,15.2368,54.088833,0.136,1
02/10/2014 15:45,15.23725,54.0902,0.133,1
02/10/2014 19:45,15.111483,54.13065,0.133,1
02/10/2014 20:01,15.111733,54.13135,0.13,1
02/10/2014 20:17,15.11105,54.13265,0.133,1
02/10/2014 20:34,15.109267,54.131633,0.133,1
02/10/2014 21:06,15.107017,54.133217,0.132,1
02/10/2014 21:22,15.106033,54.133567,0.128,1
02/10/2014 21:38,15.103083,54.13405,0.124,1
02/10/2014 21:54,15.101467,54.1334,0.129,1
02/10/2014 22:26,15.096867,54.132917,0.132,1
02/10/2014 22:42,15.093067,54.133083,0.13,1
02/10/2014 23:30,15.093517,54.13845,0.13,1
02/10/2014 23:46,15.09435,54.13935,0.133,1
03/10/2014 03:47,15.093983,54.146717,0.128,1
03/10/2014 04:03,15.095067,54.147683,0.134,1
03/10/2014 04:19,15.098,54.149517,0.128,1
03/10/2014 04:35,15.104433,54.147617,0.119,1
03/10/2014 05:23,15.152317,54.0968,0.121,1
03/10/2014 05:39,15.190917,54.093067,0.132,1
03/10/2014 05:55,15.19755,54.096967,0.133,1
03/10/2014 06:27,15.243367,54.08945,0.135,1
03/10/2014 06:43,15.2436,54.0893,0.135,1
03/10/2014 06:59,15.244167,54.089067,0.133,1
03/10/2014 07:15,15.244133,54.089417,0.133,1
03/10/2014 07:33,15.2442,54.089733,0.133,1
03/10/2014 07:47,15.243783,54.089867,0.13,1
03/10/2014 11:49,15.238017,54.089583,0.136,1
03/10/2014 12:05,15.238167,54.08905,0.158,1
03/10/2014 12:22,15.2381,54.0887,0.158,1
03/10/2014 12:37,15.236933,54.0889,0.16,1
03/10/2014 13:10,15.23735,54.089,0.162,1
03/10/2014 13:26,15.237433,54.089017,0.109,1
03/10/2014 13:42,15.237433,54.088983,0.099,1
03/10/2014 13:58,15.237433,54.088983,0.106,1
03/10/2014 14:30,15.2368,54.088517,0.101,1
03/10/2014 14:47,15.236733,54.088233,0.105,1
03/10/2014 15:35,15.237633,54.08895,0.101,1
03/10/2014 15:51,15.243483,54.091083,0.108,1
03/10/2014 19:52,14.7879,54.018417,0.103,1
03/10/2014 20:08,14.78725,54.018517,0.104,1
03/10/2014 20:24,14.78645,54.018783,0.101,1
03/10/2014 20:40,14.785433,54.01925,0.113,1
03/10/2014 21:28,14.784967,54.019617,0.127,1
03/10/2014 21:44,14.786017,54.01865,0.123,1
03/10/2014 22:00,14.7856,54.018983,0.123,1
03/10/2014 22:32,14.784983,54.020017,0.104,1
03/10/2014 22:48,14.785433,54.020367,0.099,1
03/10/2014 23:04,14.785533,54.0206,0.099,1
03/10/2014 23:20,14.78565,54.021083,0.098,1
03/10/2014 23:36,14.785433,54.021517,0.098,1
03/10/2014 23:52,14.785767,54.021817,0.103,1
