event-id,visible,timestamp,location-long,location-lat,bar:barometric-pressure,external-temperature,gps:dop,gps:satellite-count,gps-time-to-fix,ground-speed,heading,height-above-msl,location-error-numerical,manually-marked-outlier,vertical-error-numerical,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
14256075762,true,2018-05-25 16:11:37.000,4.2510295,51.3202401,,32.5,2.0,8,7.8,0.252182245339104,333.3465796550862,0.0,6.0,false,11.7,"gps","Haematopus ostralegus","5622","L918403","O_WESTERSCHELDE - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in East Flanders (Belgium)"
14256075763,true,2018-05-25 16:16:41.000,4.2510671,51.3202425,,32.8,2.1,8,7.9,0.110778067102554,39.9697669775921,-12.0,5.2,false,10.3,"gps","Haematopus ostralegus","5622","L918403","O_WESTERSCHELDE - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in East Flanders (Belgium)"
14256075764,true,2018-05-25 16:21:29.000,4.2510781,51.3202244,,34.1,2.1,8,7.9,0.190170375034929,83.4899320128956,-8.0,6.3,false,8.2,"gps","Haematopus ostralegus","5622","L918403","O_WESTERSCHELDE - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in East Flanders (Belgium)"
14256075765,true,2018-05-25 16:26:28.000,4.2510979,51.3202538,,34.5,2.2,8,7.0,0.195057420553404,83.3067245636013,-8.0,6.1,false,7.1,"gps","Haematopus ostralegus","5622","L918403","O_WESTERSCHELDE - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in East Flanders (Belgium)"
14256075766,true,2018-05-25 16:31:21.000,4.2508918,51.3201973,,34.1,2.2,8,8.0,0.194601545159168,223.966172260008,-7.0,3.4,false,5.4,"gps","Haematopus ostralegus","5622","L918403","O_WESTERSCHELDE - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in East Flanders (Belgium)"
14256075767,true,2018-05-25 16:36:09.000,4.2492996,51.3203473,,32.5,2.2,8,8.0,0.176840441133622,65.6929946315414,-6.0,4.3,false,7.6,"gps","Haematopus ostralegus","5622","L918403","O_WESTERSCHELDE - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in East Flanders (Belgium)"
14256075768,true,2018-05-25 16:40:57.000,4.2490437,51.3204271,,32.1,2.2,8,8.1,2.04033967770917,144.526876898946,20.0,13.4,false,23.9,"gps","Haematopus ostralegus","5622","L918403","O_WESTERSCHELDE - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in East Flanders (Belgium)"
14256075769,true,2018-05-25 16:45:55.000,4.2492021,51.3204477,,33.3,2.1,8,18.1,0.0750574394048644,118.720952519595,0.0,12.9,false,20.6,"gps","Haematopus ostralegus","5622","L918403","O_WESTERSCHELDE - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in East Flanders (Belgium)"
14256075770,true,2018-05-25 16:50:49.000,4.2507038,51.3206014,,32.6,2.1,8,8.1,9.86905520306352,61.494432104847,-8.0,5.5,false,7.2,"gps","Haematopus ostralegus","5622","L918403","O_WESTERSCHELDE - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in East Flanders (Belgium)"
14256075771,true,2018-05-25 16:55:36.000,4.2512863,51.3204661,,31.7,2.0,8,7.0,0.281075122026673,103.677525753859,-8.0,3.2,false,4.9,"gps","Haematopus ostralegus","5622","L918403","O_WESTERSCHELDE - Eurasian oystercatchers (Haematopus ostralegus, Haematopodidae) breeding in East Flanders (Belgium)"
